id_membre;nom;sexe;profession;spécialité;naissance;;;;
20;Carole Widmaier;F;chercheur;philosophie;1975;;;;
13;Sylvie-Anne Goldberg;F;chercheur;judaïsme;;;;;
39;Valérie Masson-Delmotte;H;chercheur;physique;1971;;;;
48;Didier Martin;H;"politicien;médecin";neurologie;1956;;;;
60;François Stasse;H;magistrat;;1948;;;;
66;Anne Caron-Déglise;F;magistrat;;1959;;;;
91;Angèle Consoli;F;médecin;psychiatrie;1972;;;;
126;Séverine Laboué;F;haut fonctionnaire;;1981;;;;
134;Rachel Bocher;F;médecin;psychiatrie;;;;;
142;Ariane Giacobino;F;médecin;génétique;;;;;
148;Laurent Chambaud;H;médecin;santé publique;;;;;
182;François-Xavier Maquart;H;biologiste;;1952;;;;
189;Lluís Quintana-Murci;H;biologiste;génétique;1970;;;;
208;Jean-Antoine Girault;H;médecin;neurologie;1955;;;;
261;Didier Dreyfuss;H;médecin;réanimation;;;;;
276;Michel Badré;H;haut fonctionnaire;environnement;1948;;;;
277;Didier Fassin;H;chercheur;sociologie;1955;;;;
278;Yvanie Caillé;F;"ingénieur;militant";;1974;;;;
279;Noémie Nauleau;F;"référent handicap;militant";;1985;;;;
280;Jean-Louis Haurié;H;militant;;;;;;
281;Sylviane Giampino;F;"psychologue;militant";;;;;;
282;Cécile Duflot;F;politicien;écologie;;;;;
65;Françoise Kamara;F;magistrat;;1952;;;;
74;Annabel Desgrées du Loû;F;chercheur;démographie;1968;;;;
104;Alain Claeys;H;politicien;;1948;;;;
112;Gilles Bœuf;H;biologiste;biologie marine;1950;;;;
118;Jean-Emmanuel Ray;H;chercheur;droit;1952;;;;
156;Karine Lefeuvre;F;chercheur;droit;1971;;;;
162;Fabrice Gzil;H;chercheur;philosophie;1974;;;;
188;Alain Prochianz;H;biologiste;neurologie;1948;;;;
202;Arnold Munnich;H;médecin;"génétique;pédiatrie";1949;;;;
260;Michèle Cottier;F;médecin;;1957;;;;
243;Emmanuel Didier;H;chercheur;sociologie;1970;;;;
259;Anne Pellé;F;chercheur;physiologie;;;;;
6;Jean-François Delfraissy;H;médecin;"infectiologie;immunologie";1948;;;;
12;Cynthia Fleury;F;chercheur;philosophie;1974;;;;
19;Marion Muller-Colard;F;théologien;protestantisme;1978;;;;
47;Marc Delatte;H;"politicien;médecin";généraliste;1961;;;;
55;Corinne Imbert;F;"politicien;pharmacien";;1958;;;;
59;Caroline Martin;F;magistrat;;1955;;;;
73;Claire Hédon;F;journaliste;;1962;;;;
80;Karine Lefeuvre;F;professeur d'université;droit;1971;;;;
86;Alexandra Benachi;F;médecin;gynécologie;;;;;
90;Claude Kirchner;H;chercheur;informatique;1951;;;;
119;Florence Jusot;F;chercheur;économie;1974;;;;
125;Lionel Naccache;H;médecin;neurologie;1969;;;;
176;Jean-François Bach;H;médecin;immunologie;1940;;;;
214;Gilles Adda;H;"ingénieur;ITA";informatique;1959;;;;
229;Catherine Patrat;F;médecin;embryologie;;;;;
234;Claude Delpuech;H;"ingénieur;ITA";physique;;;;;
258;Fabienne Blaise;F;chercheur;littérature;1957;;;;
26;Abdennour Bidar;H;ENArque;éducation;1971;;;;
32;Dominique Quinio;F;journaliste;catholicisme;;;;;
64;Pierre Delmas-Goyon;H;magistrat;;1952;;;;
103;Sophie Crozier;F;médecin;neurologie;;;;;
111;Carine Camby;F;ENArque;;1961;;;;
117;Martine Le Friant;F;chercheur;droit;1955;;;;
168;Yves Charpenel;H;magistrat;;1950;;;;
196;Thomas Bourgeron;H;biologiste;génétique;1965;;;;
201;Anne Durandy-Torre;F;médecin;;1948;;;;
242;Marc Abeles;H;chercheur;anthropologie;1950;;;;
249;Mounira Amor-Guéret;F;biologiste;oncologie;;;;;
268;Véronique Fournier;F;médecin;"cardiologie;santé publique";1954;;;;
11;Lionel Naccache;H;médecin;neurologie;1969;;;;
18;Marianne Carbonnier-Burkard;F;chercheur;histoire;1949;;;;
38;Frédéric Worms;H;chercheur;philosophie;1964;;;;
54;Michelle Meunier;F;"politicien;éducateur";enfance;1956;;;;
58;Jean-Marie Delarue;H;magistrat;;1945;;;;
72;Jean-Pierre Mignard;H;"politicien;avocat";;1951;;;;
85;Frédérique Kuttenn;F;médecin;endocrinologie;;;;;
96;Hervé Chneiweiss;H;médecin;"neurologie;génétique";1957;;;;
133;Florence Gruat;F;cadre supérieur santé;;1957;;;;
141;François Ansermet;H;médecin;psychiatre;1952;;;;
147;Cynthia Fleury;F;chercheur;"psychologie;philosophie";1974;;;;
181;Jean-Noël Fiessinger;H;médecin;cardiologie;1942;;;;
207;Laure Coulombel;F;médecin;;1950;;;;
241;Marie-Angèle Hermitte;F;chercheur;droit;1948;;;;
257;Xavier Vandendriessche;H;chercheur;droit;1961;;;;
37;André Glucksman;H;professeur agrégé;philosophie;1937;;;;
53;Bernard Cazeau;H;"politicien;médecin";;1939;;;;
79;Dominique Thouvenin;F;professeur d'université;droit;1953;;;;
116;Régis Aubry;H;médecin;soin palliatifs;1958;;;;
155;Michel Van Praët;H;chercheur;musée;1949;;;;
161;Christiane Basset;F;militant;famille;1946;;;;
175;Jean-Pierre Kahane;H;chercheur;mathématiques;1926;;;;
187;Claudine Tiercelin;F;chercheur;philosophie;1952;;;;
195;Margaret Buckingham;F;biologiste;développement;1945;;;;
213;Alice René;F;;neurologie;1977;;;;
224;Francis Puech;H;médecin;gynécologie;;;;;
267;Didier Truchet;H;chercheur;droit;1948;;;;
275;Pierre-Henri Duée;H;biologiste;agronomie;;;;;
10;Michaël Azoulay;H;théologien;judaïsme;1971;;;;
17;Louis Schweitzer;H;théologien;protestantisme;;;;;
36;Luc Ferry;H;chercheur;philosophie;1951;;;;
89;Bertrand Weil;H;médecin;;1935;;;;
132;François Beaufils;H;médecin;pédiatrie;1939;;;;
140;Sylvie Cazalot;F;infirmière;;;;;;
146;Joëlle Belaisch-Allart;F;médecin;gynécologie;1953;;;;
174;Gérard Ferey;H;chercheur;chimie;1941;;;;
212;Danièle Siroux;F;"juriste;ITA";;;;;;
228;Yves Agid;H;médecin;;1940;;;;
233;Jean-Louis Vildé;H;médecin;épidémiologie;1938;;;;
256;Claude Matuchansky;H;médecin;gastro-entérologue;1941;;;;
274;Emmanuel Jolivet;H;médecin;"réanimation;pédiatrie";1979;;;;
4;Alain Grimfeld;H;médecin;pédiatrie;1941;;;;
25;Ali Benmakhlouf;H;chercheur;philosophie;1959;;;;
31;Xavier Lacroix;H;théologien;catholicisme;;;;;
63;Frédérique Dreifuss-Netter;F;magistrat;;1950;;;;
102;Alain Cordier;H;haut fonctionnaire;;1954;;;;
110;André Comte-Sponville;H;chercheur;philosophie;1952;;;;
124;Anne-Marie Dickelé;F;psychologue;;;;;;
167;Claire Legras;F;magistrat;;1973;;;;
173;Pierre Joliot;H;biologiste;;1932;;;;
200;Marie-Germaine Bousser;F;médecin;neurologie;1943;;;;
223;Annick Alpérovitch;F;médecin;épidémiologie;1941;;;;
240;Roger-Pol Droit;H;"chercheur;journaliste";philosophie;1949;;;;
248;Patrick Gaudray;H;biologiste;génétique;1951;;;;
255;Georges Faure;H;chercheur;droit;1960;;;;
5;Jean-Claude Ameisen;H;médecin;immunologie;1951;;;;
9;Haïm Korsia;H;théologien;judaïsme;1963;;;;
16;Olivier Abel;H;chercheur;protestantisme;1953;;;;
52;Marie-Thérèse Hermange;H;politicien;;1937;;;;
57;Michel Roux;H;magistrat;;1935;;;;
62;Philippe Waquet;H;magistrat;;1933;;;;
71;Lucien Neuwirth;H;politicien;;1924;;;;
84;Dominique Stoppa-Lyonnet;F;médecin;génétique;1956;;;;
88;Christian de Rouffignac;H;biologiste;cellulaire;1945;;;;
95;Philippe Rouvillois;H;ENArque;;1935;;;;
123;Alain Grimfeld;H;médecin;pédiatrie;1941;;;;
131;Bernard Kanovitch;H;médecin;rhumathologie;;;;;
172;Robert Nauquet;H;"médecin;biologiste";neurologie;1923;;;;
180;Claude Sureau;H;médecin;;1927;;;;
227;Alain Fischer;H;médecin;"génétique;immunologie";1949;;;;
273;Pierre Le Neindre;H;biologiste;agronomie;;;;;
46;Jean Bardet;H;"politicien;médecin";cardiologie;1941;;;;
115;Pierre Le Coz;H;chercheur;philosophie;1964;;;;
145;Jacqueline Mandelbaum;F;médecin;reproduction;1946;;;;
154;Alain-Gérard Slama;H;journaliste;;1942;;;;
160;Chantal Lebatard;F;militant;famille;;;;;
186;Mireille Delmas-Marty;F;chercheur;droit;1941;;;;
194;Pascale Cossart;F;biologiste;microbiologie;1948;;;;
199;Claude Kordon;F;biologiste;;1934;;;;
222;Carole Moquin-Pattey;F;chercheur;pharmacologie;;;;;
266;Claude Burlet;H;médecin;;1942;;;;
272;Yves Chupeau;H;biologiste;cellulaire;1944;;;;
45;Alain Claeys;H;politicien;économie;1948;;;;
51;Jean-Louis Lorrain;H;"politicien;médecin";;1948;;;;
70;Anne Cambon-Thomsen;F;médecin;"immunologie;génétique";1949;;;;
